city,outcome,outcome_label,exposure,exposure_value,percentile_25,percentile_75,cat,date_of_access,source,geo_level
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: Hispanic and NH-White,0.471713590348009,0.43233416444743,0.563860364781174,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: NH-Black and NH-White,0.669654119482568,0.526829483151603,0.662540417910536,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,GINI,0.5145,0.471625,0.524725,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Isolation: Hispanic,0.164922680869493,0.229639585692799,0.534247426595768,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Isolation: NH-Black,0.796937581842593,0.173191284321452,0.538748277872948,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Overcrowding,2.09647200521922,2.87210151394166,6.67088479899953,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Foreign Born,8.14210090766988,13.8168051502286,26.6321506181401,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Healthcare Worker,11.4803765201789,7.58265758269802,9.74066843506018,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Hispanic,5.28428719673186,10.7297914851693,34.8012400365087,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% NH Asian/PI,2.60298309448436,3.50851232142267,11.2509525434844,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% NH-Black,61.7706458773923,7.72411369502659,28.5357204408988,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% NH Native American,0.236769168122529,0.174312629873896,0.330388362059734,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% NH White,27.4911663098162,28.3324232079248,47.3369690651028,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Poverty,21.2051034301772,13.7023088021325,19.0921518851457,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Production Worker,3.13932955484036,2.97404940807479,5.10367631800989,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,% Service Worker,8.44251089402182,8.81868016860891,9.82375342706155,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Population,609032,652678.5,1483455.5,bottom,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Population Density,2554.56100200923,1243.36386266646,2755.98468918959,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,Social Vulnerability Index (SVI),0.835663249456353,0.526250388319354,0.713886300093197,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,SVI - Socioeconomic,0.69120844982914,0.262503883193538,0.571606088847468,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,SVI - Household Composition & Disability,0.424666045355701,0.0385212799005903,0.319975147561355,top,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,SVI - Minority Status & Language,0.890959925442684,0.887853370611991,0.949673811742777,middle,2022-02-18,LHD,city
Baltimore*,% Fully Vaccinated,% Fully Vaccinated,SVI -  Housing Type & Transportation,0.878533706119913,0.703324013668841,0.90990990990991,middle,2022-02-18,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: Hispanic and NH-White,0.530443565360355,0.43233416444743,0.563860364781174,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: NH-Black and NH-White,0.710307248371286,0.526829483151603,0.662540417910536,top,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,GINI,0.5393,0.471625,0.524725,top,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Isolation: Hispanic,0.310322407482304,0.229639585692799,0.534247426595768,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Isolation: NH-Black,0.490848011965663,0.173191284321452,0.538748277872948,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Overcrowding,3.09510911910716,2.87210151394166,6.67088479899953,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Foreign Born,28.3008391549127,13.8168051502286,26.6321506181401,top,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Healthcare Worker,10.5163751054388,7.58265758269802,9.74066843506018,top,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Hispanic,19.8365233299093,10.7297914851693,34.8012400365087,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% NH Asian/PI,9.64056465788693,3.50851232142267,11.2509525434844,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% NH-Black,22.6622967683111,7.72411369502659,28.5357204408988,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% NH Native American,0.201058185595993,0.174312629873896,0.330388362059734,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% NH White,44.4963974639783,28.3324232079248,47.3369690651028,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Poverty,18.9142435019497,13.7023088021325,19.0921518851457,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Production Worker,2.19155546474283,2.97404940807479,5.10367631800989,bottom,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,% Service Worker,9.77948226270374,8.81868016860891,9.82375342706155,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Population,684379,652678.5,1483455.5,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Population Density,2948.49857385736,1243.36386266646,2755.98468918959,top,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,Social Vulnerability Index (SVI),0.713264989127058,0.526250388319354,0.713886300093197,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,SVI - Socioeconomic,0.529046287666977,0.262503883193538,0.571606088847468,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,SVI - Household Composition & Disability,0.0851196023609817,0.0385212799005903,0.319975147561355,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,SVI - Minority Status & Language,0.941286113699907,0.887853370611991,0.949673811742777,middle,2022-02-08,LHD,city
Boston*,% Fully Vaccinated,% Fully Vaccinated,SVI -  Housing Type & Transportation,0.975458216837527,0.703324013668841,0.90990990990991,top,2022-02-08,LHD,city
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: Hispanic and NH-White,0.629957828874359,0.43233416444743,0.563860364781174,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: NH-Black and NH-White,0.651719886191706,0.526829483151603,0.662540417910536,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,GINI,0.5276,0.471625,0.524725,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Isolation: Hispanic,0.651276824374002,0.229639585692799,0.534247426595768,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Isolation: NH-Black,0.254527782209201,0.173191284321452,0.538748277872948,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Overcrowding,13.1628065951329,2.87210151394166,6.67088479899953,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Foreign Born,36.8633625548786,13.8168051502286,26.6321506181401,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Healthcare Worker,8.13225638611531,7.58265758269802,9.74066843506018,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Hispanic,48.4608019892431,10.7297914851693,34.8012400365087,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% NH Asian/PI,11.5905827570699,3.50851232142267,11.2509525434844,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% NH-Black,8.61496126985663,7.72411369502659,28.5357204408988,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% NH Native American,0.160678165717824,0.174312629873896,0.330388362059734,bottom,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% NH White,28.4843516507451,28.3324232079248,47.3369690651028,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Poverty,17.9901101374556,13.7023088021325,19.0921518851457,middle,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Production Worker,5.34758801813632,2.97404940807479,5.10367631800989,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,% Service Worker,9.82983573251406,8.81868016860891,9.82375342706155,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Population,3966936,652678.5,1483455.5,top,2022-02-17,State,county
Los Angeles*,% Fully Vaccinated,% Fully Vaccinated,Population Density,3046.66181753243,1243.36386266646,2755.98468918959,top,2022-02-17,State,county
